0x01000010 : Comp (v1.30), ./A1 FOUR/unzipped/COMP.ZD2
0x01000020 : RackComp (v1.30), ./A1 FOUR/unzipped/RACKCOMP.ZD2
0x01000030 : SlowATTCK (v1.40), ./A1 FOUR/unzipped/SLWATK.ZD2
0x01000040 : ZNR (v1.40), ./A1 FOUR/unzipped/ZNR.ZD2
0x01000050 : MuteSW (v1.30), ./A1 FOUR/unzipped/MUTESW.ZD2
0x01000060 : GrayComp (v1.30), ./A1 FOUR/unzipped/GRAYCOMP.ZD2
0x01000070 : NoiseGate (v1.30), ./A1 FOUR/unzipped/N_GATE.ZD2
0x01000080 : OptComp (v1.40), ./A1 FOUR/unzipped/OPTCOMP.ZD2
0x01800010 : BlackOpt (v1.30), ./A1 FOUR/unzipped/BLACKOPT.ZD2
0x01800020 : LMT-76 (v1.40), ./A1 FOUR/unzipped/LMT1176.ZD2
0x01800030 : 160 Comp (v1.30), ./A1 FOUR/unzipped/160_COMP.ZD2
0x01800040 : DualComp (v1.30), ./A1 FOUR/unzipped/DUAL_CMP.ZD2
0x01800050 : MB Comp (v1.30), ./A1 FOUR/unzipped/MB_COMP.ZD2
0x01800060 : DYN Comp (v1.30), ./A1 FOUR/unzipped/DCOMP.ZD2
0x01800070 : Glam Comp (v1.20), ./A1 FOUR/unzipped/GLAMCOMP.ZD2
0x01a01000 : Adv.NR (v1.00), ./A1 FOUR/unzipped/ADVNR.ZD2
0x02000010 : AutoWah (v1.30), ./A1 FOUR/unzipped/AUTOWAH.ZD2
0x02000020 : Resonance (v1.30), ./A1 FOUR/unzipped/RESONANC.ZD2
0x02000030 : Cry (v1.30), ./A1 FOUR/unzipped/CRY.ZD2
0x02000040 : SeqFLTR (v1.40), ./A1 FOUR/unzipped/SEQFLTR.ZD2
0x02000051 : Gt GEQ (v1.10), ./A1 FOUR/unzipped/GT_GEQ1U.ZD2
0x02000054 : Gt GEQ 7 (v1.10), ./A1 FOUR/unzipped/GTGEQ71U.ZD2
0x02000061 : St Gt GEQ (v1.10), ./A1 FOUR/unzipped/STGTGE1U.ZD2
0x02000070 : ParaEQ (v1.30), ./A1 FOUR/unzipped/PARAEQ.ZD2
0x02000071 : ParaEQx2 (v1.00), ./A1 FOUR/unzipped/PARAEQ2.ZD2
0x02000090 : RndmFLTR (v1.30), ./A1 FOUR/unzipped/RNDMFLTR.ZD2
0x020000a0 : LowPassFL (v1.30), ./A1 FOUR/unzipped/LOWPASSF.ZD2
0x020000b0 : Exciter (v1.40), ./A1 FOUR/unzipped/EXCITER.ZD2
0x020000c0 : Step (v1.30), ./A1 FOUR/unzipped/STEP.ZD2
0x020000d0 : LFO FLTR (v1.30), ./A1 FOUR/unzipped/LFO_FLTR.ZD2
0x02400001 : AG PU SEL (v1.00), ./A1 FOUR/unzipped/AG_PUSL.ZD2
0x02400010 : BaDePiezo (v1.00), ./A1 FOUR/unzipped/DPZ_BA.ZD2
0x02400020 : Fish EQ (v1.00), ./A1 FOUR/unzipped/FISH_EQ.ZD2
0x02400030 : Baggs EQ (v1.01), ./A1 FOUR/unzipped/BAGGSEQ.ZD2
0x02400040 : Bone EQ (v1.01), ./A1 FOUR/unzipped/BONE_EQ.ZD2
0x02800010 : BassA-Wah (v1.30), ./A1 FOUR/unzipped/B_ATWAH.ZD2
0x02800020 : Z Tron (v1.30), ./A1 FOUR/unzipped/Z_TRON.ZD2
0x02800030 : A-Filter (v1.30), ./A1 FOUR/unzipped/A_FILTER.ZD2
0x02800040 : Bass Cry (v1.30), ./A1 FOUR/unzipped/BA_CRY.ZD2
0x02800051 : BassGEQ (v1.10), ./A1 FOUR/unzipped/BA_GEQ1U.ZD2
0x02800061 : St Ba GEQ (v1.10), ./A1 FOUR/unzipped/STBGEQ1U.ZD2
0x02800070 : BassPEQ (v1.30), ./A1 FOUR/unzipped/BA_PEQ.ZD2
0x02800080 : Splitter (v1.30), ./A1 FOUR/unzipped/SPLITTER.ZD2
0x02800090 : Low EQ (v1.30), ./A1 FOUR/unzipped/LOW_EQ.ZD2
0x02800095 : High EQ (v1.20), ./A1 FOUR/unzipped/HIGH_EQ.ZD2
