0x01000030 : SlowATTCK (v1.40), ./B1 FOUR/unzipped/SLWATK.ZD2
0x01000040 : ZNR (v1.40), ./B1 FOUR/unzipped/ZNR.ZD2
0x01000080 : OptComp (v1.40), ./B1 FOUR/unzipped/OPTCOMP.ZD2
0x01800010 : BlackOpt (v1.30), ./B1 FOUR/unzipped/BLACKOPT.ZD2
0x01800020 : LMT-76 (v1.40), ./B1 FOUR/unzipped/LMT1176.ZD2
0x01800030 : 160 Comp (v1.30), ./B1 FOUR/unzipped/160_COMP.ZD2
0x01800040 : DualComp (v1.30), ./B1 FOUR/unzipped/DUAL_CMP.ZD2
0x01800050 : MB Comp (v1.30), ./B1 FOUR/unzipped/MB_COMP.ZD2
0x01800060 : DYN Comp (v1.30), ./B1 FOUR/unzipped/DCOMP.ZD2
0x01800070 : Glam Comp (v1.20), ./B1 FOUR/unzipped/GLAMCOMP.ZD2
0x02000040 : SeqFLTR (v1.40), ./B1 FOUR/unzipped/SEQFLTR.ZD2
0x020000b0 : Exciter (v1.40), ./B1 FOUR/unzipped/EXCITER.ZD2
0x02800010 : BassA-Wah (v1.30), ./B1 FOUR/unzipped/B_ATWAH.ZD2
0x02800020 : Z Tron (v1.30), ./B1 FOUR/unzipped/Z_TRON.ZD2
0x02800030 : A-Filter (v1.30), ./B1 FOUR/unzipped/A_FILTER.ZD2
0x02800040 : Bass Cry (v1.30), ./B1 FOUR/unzipped/BA_CRY.ZD2
0x02800051 : BassGEQ (v1.10), ./B1 FOUR/unzipped/BA_GEQ1U.ZD2
0x02800061 : St Ba GEQ (v1.10), ./B1 FOUR/unzipped/STBGEQ1U.ZD2
0x02800070 : BassPEQ (v1.30), ./B1 FOUR/unzipped/BA_PEQ.ZD2
0x02800080 : Splitter (v1.30), ./B1 FOUR/unzipped/SPLITTER.ZD2
0x02800090 : Low EQ (v1.30), ./B1 FOUR/unzipped/LOW_EQ.ZD2
0x02800095 : High EQ (v1.20), ./B1 FOUR/unzipped/HIGH_EQ.ZD2
0x028000a0 : EnvFilter (v1.20), ./B1 FOUR/unzipped/ENV_FLTR.ZD2
0x03000020 : EP Stomp (v1.30), ./B1 FOUR/unzipped/EP_STOMP.ZD2
0x03000030 : RC Boost (v1.40), ./B1 FOUR/unzipped/RCBOOST.ZD2
0x030000d0 : NYC Muff (v1.30), ./B1 FOUR/unzipped/NYC_MUFF.ZD2
0x03000130 : Squeak (v1.20), ./B1 FOUR/unzipped/SQUEAK.ZD2
0x03800011 : Bass DRV (v1.00), ./B1 FOUR/unzipped/BA_DRV1U.ZD2
0x03800021 : D.I Plus (v1.00), ./B1 FOUR/unzipped/DIPLUS1U.ZD2
0x03800031 : Dark Pre (v1.00), ./B1 FOUR/unzipped/DRKPRE1U.ZD2
